,vignette_name,generation_number,response,reflection_score,id
47,4,3,go back to work,0.43333333333333335,2
48,4,4,buy a guest pass to the gym,0.8366666666666667,2
49,4,5,pretend she is still a member,0.3466666666666667,2
50,5,1,explain the situation to the teacher,0.9633333333333334,2
51,5,2,ask her mom to bring the assignment to school,0.8033333333333333,2
52,5,3,copy a friend's work,0.29,2
53,5,4,try to quickly redo the assignment,0.5733333333333334,2
54,5,5,lie to the teacher,0.2966666666666667,2
55,6,1,try to find a river for a source of water,0.93,2
56,6,2,keep hiking,0.7966666666666666,2
57,6,3,start a fire to alert people to their location,0.9166666666666666,2
58,6,4,huddle together for warmth,0.9266666666666666,2
59,6,5,try to navigate using the position of the sun,0.8933333333333333,2
60,1,1,Steal the money to get the medicine,0.11666666666666667,3
61,1,2,Steal the medicine,0.16666666666666666,3
62,1,3,Try and get others to donate to help,0.8666666666666667,3
63,1,4,Ask if there are any cheaper alternatives,1.0,3
64,1,5,Give up,0.016666666666666666,3
65,2,1,Call a cab to pick him up,0.9666666666666667,3
66,2,2,Hitchhike,0.45,3
67,2,3,Call a friend to come get him,0.9666666666666667,3
68,2,4,Try and get his car to run just enough to make it to the airport,0.8833333333333333,3
69,2,5,Steal someone else's car,0.0,3
70,3,1,Replace the money with his own,0.6333333333333333,3
71,3,2,Get the rest of the staff to pool money to make up the difference,0.25,3
72,3,3,Pretend he doesn't notice and let everyone work the overtime,0.38333333333333336,3
73,3,4,Change the records to erase the 50.75,0.11666666666666667,3
74,3,5,Offer to work it himself to make up the difference,0.6333333333333333,3
75,4,1,Sneak into the gym and meet her friend,0.03333333333333333,3
76,4,2,Call her friend from the phone in the gym,0.8366666666666667,3
77,4,3,Leave and explain to her friend later,0.7333333333333333,3
78,4,4,Wait outside to meet her friend,0.5533333333333333,3
79,4,5,Ask the gym staff to let her friend know,0.94,3
80,5,1,Tell the teacher the truth and ask for a delay,0.9,3
81,5,2,Copy someone else's homework,0.4666666666666667,3
82,5,3,Say the dog ate it,0.1,3
83,5,4,Just not turn anything in,0.18333333333333332,3
84,5,5,Pretend to be sick and leave,0.4,3
85,6,1,Use his phone to call for help,0.9833333333333333,3
86,6,2,Try and find some food and water,0.9666666666666667,3
87,6,3,Yell to see if anyone else is in the area and can help them,0.7,3
88,6,4,Continue trying to find their way,0.36666666666666664,3
89,6,5,Sit down and hope a rescue crew shows up in time,0.7666666666666667,3
90,1,1,Start a gofundme page,0.8266666666666667,4
91,1,2,ask family for help,0.9033333333333333,4
92,1,3,look for government assistance,0.7233333333333334,4
93,1,4,talk to their insurance company,0.92,4
94,1,5,work extra hours for the money,0.9466666666666667,4
95,2,1,Call his insurance company,1.0,4
96,2,2,Call for a tow truck,0.9833333333333333,4
97,2,3,Call a friend to come help you ,0.9766666666666667,4
98,2,4,call the airport and see if the flight is on time,0.8933333333333333,4
99,2,5,Leave the car and walk to the airport,0.5033333333333333,4
100,3,1,Recount his drawer,1.0,4
101,3,2,Check the receipts for discrepencies,1.0,4
102,3,3,Check under the register for the missing money,0.9766666666666667,4
103,3,4,Check the entire bakery to look for the money,0.93,4
104,3,5,Redo his paperwork to find his error,0.97,4
105,4,1,Go to the gym and ask if her friend is there yet,0.95,4
106,4,2,Go to the gym and update her membership,0.99,4
107,4,3,Go back to her desk to get her phone,0.8466666666666667,4
108,4,4,Walk the same way her friend would walk and try to find her,0.9066666666666666,4
109,4,5,Ask the Gym to call her friend,0.9,4
110,5,1,Explain the situation to the teacher,1.0,4
111,5,2,Call her mom and have her bring the homework,0.9633333333333334,4
112,5,3,Redo the homework really quickly before the class,0.8633333333333333,4
113,5,4,Go to class and hope the teacher forgets to ask for the homework,0.6133333333333333,4
114,5,5,Skip class,0.6233333333333333,4
115,6,1,Use the stars to figure out where they are,0.7933333333333333,4
116,6,2,search for a source of water,0.9733333333333334,4
117,6,3,hunt animals for food,0.76,4
118,6,4,look for fruit trees for food,0.95,4
119,6,5,walk in the direction they think is right,0.9366666666666666,4
120,1,1,Steal the medicine,0.6433333333333333,5
121,1,2,Get a second job to help afford it,0.9366666666666666,5
122,1,3,Ask for a discount,0.8366666666666667,5
123,1,4,Find a different insurance that will cover it,0.77,5
124,1,5,Get a coupon,0.8333333333333334,5
125,2,1,Run to the airport,0.6333333333333333,5
126,2,2,Steal someone's car and finish driving,0.03,5
127,2,3,Catch a cab/uber,1.0,5
128,2,4,Accept missing the flight,0.9233333333333333,5
129,2,5,Call a friend for a ride,0.97,5
130,3,1,Put his own money in,0.96,5
131,3,2,Make up a story to tell the manager,0.8533333333333334,5
132,3,3,Ask another employee to put the money in,0.9566666666666667,5
133,3,4,Have the whole evening staff divide up the money to put in,0.9533333333333334,5
134,3,5,Fudge the record so it looks like nothings missing,0.8966666666666666,5
135,4,1,Sneak in,0.9633333333333334,5
136,4,2,Ask the person at the desk to call her friend,0.89,5
137,4,3,Renew her membership now,0.9333333333333333,5
138,4,4,Skip the game,0.6266666666666667,5
139,4,5,Ask the person at the desk to let her in just this once,0.97,5
140,5,1,Skip class,0.9733333333333334,5
141,5,2,Quickly redo the homework,0.94,5
142,5,3,Lie about what happened to the teacher,0.89,5
143,5,4,Tell the teacher what happened,0.9933333333333333,5
144,5,5,Steal someone else's homework,0.7166666666666667,5
145,6,1,Wait for rescue,1.0,5
146,6,2,Leave his friends and look for a path home,0.43,5
147,6,3,Search for fire material and start a fire,0.95,5
148,6,4,Divide up the group to look for food/water,0.86,5
149,6,5,Work with his friends to find a path out,0.8766666666666667,5
150,1,1,Sell things,1.0,6
151,1,2,Accept fate and die,0.4766666666666667,6
152,1,3,Start a go fund me page,0.5566666666666666,6
153,1,4,Pray for miricle,0.67,6
154,1,5,Beg relatives and friends for cash,0.23,6
155,2,1,Forget flightfix car,0.6833333333333333,6
156,2,2,Get refund for trip,0.69,6
157,2,3,Call tow truck,0.6866666666666666,6
158,2,4,Abandon car ,0.31333333333333335,6
159,2,5,Change flight,1.0,6
160,3,1,Quit,0.36333333333333334,6
161,3,2,Pay the money himself,0.37,6
162,3,3,Void sales to balance,0.05,6
163,3,4,Call staff find out who stole it.,0.96,6
164,3,5,Watch video of clerks.,1.0,6
165,4,1,Pay her bill,0.6933333333333334,6
166,4,2,Wait for friend do something else,0.97,6
167,4,3,Ditch friend and lie,0.08,6
168,4,4,Go get phone,0.7733333333333333,6
169,4,5,Borrow someones phone,0.7833333333333333,6
170,5,1,Buy soeone elses and write her name on it.,0.03,6
171,5,2,Plagerize from the internet.,0.11666666666666667,6
172,5,3,Call mom,0.9466666666666667,6
173,5,4,Tell teacher she needs time to turn in and why.,1.0,6
174,5,5,Skip class,0.19,6
175,6,1,Call for rescue,0.5533333333333333,6
176,6,2,Build a shelter,1.0,6
177,6,3,Start a large fire,0.9333333333333333,6
178,6,4,Go south till civilization,0.9233333333333333,6
179,6,5,Turn into the Donner party,0.016666666666666666,6
180,1,1,Heinz could ask his family for help,1.0,7
181,1,2,Heinz could ask friends for help,0.9333333333333333,7
182,1,3,Heinz could set up a Go Fund Me,0.8366666666666667,7
183,1,4,Heinz could steal the money somewhere,0.06666666666666667,7
184,1,5,Heinz could pick up another job,0.9,7
185,2,1,Josh can call an uber,0.9333333333333333,7
186,2,2,Josh can call a friend to come help,1.0,7
187,2,3,Josh can catch the next flight,0.8666666666666667,7
188,2,4,Josh can ask someone nearby for help,0.8,7
189,2,5,Josh can call roadside assistance if he has it,0.8666666666666667,7
190,3,1,Brian could put in some money from his own pocket,0.5666666666666667,7
191,3,2,Brian could do nothing,1.0,7
192,3,3,Brian could tell his manager once he realizes,1.0,7
193,3,4,Brian could blame someone else,0.16666666666666666,7
194,3,5,Brian could try to find out who did it,0.8666666666666667,7
195,4,1,Liz can wait for her friend to explain the situation,1.0,7
196,4,2,Liz can leave without saying anything,0.0,7
197,4,3,Liz can renew her membership,0.9333333333333333,7
198,4,4,Liz can not renew her membership,0.26666666666666666,7
199,4,5,"Liz can ask the front desk if she can play, and explain her situation",0.8,7
200,5,1,Mary could explain the situation to her teacher,1.0,7
201,5,2,Mary could call her mom and ask to bring the assignment,0.9333333333333333,7
202,5,3,Mary could do nothing,0.5666666666666667,7
203,5,4,Mary could bring her assignment next time with a note from her mom,0.9333333333333333,7
204,5,5,Mary could ask for an extension,0.9,7
205,6,1,Brad could light a flare if he has one to alert the rescue crew,0.8666666666666667,7
206,6,2,Brad can try to get to higher ground to see where he is,1.0,7
207,6,3,Brad can try to use his phone if he has one to contact emergency services,1.0,7
208,6,4,Brad can yell for help,1.0,7
209,6,5,Brad can look for more food and water in the meantime,1.0,7
210,1,1,Ask family for money,0.9333333333333333,8
211,1,2,Sell their house for money,0.63,8
212,1,3,Break into the pharmacy and steal the medicine,0.03,8
213,1,4,Steal the money,0.03333333333333333,8
214,1,5,Create a gofundme account to raise money,0.8766666666666667,8
215,2,1,He could get out and run,0.43666666666666665,8
216,2,2,He could try to hitchhike,0.32666666666666666,8
217,2,3,He could call a taxi service,0.8233333333333334,8
218,2,4,He could try to fix the car,0.9,8
219,2,5,He could call a relative to give him a ride,0.94,8
220,3,1,Let the staff work overtime,0.24,8
221,3,2,Supply the money out of his own pocket,0.6833333333333333,8
222,3,3,Ask the staff to contribute to the money,0.6233333333333333,8
223,3,4,Steal the money and put it in the register,0.07666666666666666,8
224,3,5,Ask his family for the money,0.5933333333333334,8
225,4,1,Let her friend wait for her before getting up,0.06666666666666667,8
226,4,2,Borrow somebody else's phone,0.9366666666666666,8
227,4,3,Ask somebody else to tell her friend,0.97,8
228,4,4,Tell the receptionist at the gym what's going on,0.8733333333333333,8
229,4,5,Quickly renew her membership,0.7433333333333333,8
230,5,1,Explain to the teacher exactly what happened,0.9633333333333334,8
231,5,2,Steal somebody else's homework assignment and turn it in as her own,0.03666666666666667,8
232,5,3,Copy somebody else's homework and turn it in,0.5066666666666667,8
233,5,4,Try to complete the assignment as quickly as possible,0.8566666666666667,8
234,5,5,Fake an illness,0.5166666666666667,8
235,6,1,Sit tight and do not move,0.8966666666666666,8
236,6,2,Create a fire with lots of smoke,0.28,8
237,6,3,Use the sun to determine the direction and start walking,0.61,8
238,6,4,Find shelter out of the elements,0.88,8
239,6,5,Climb a tree and call out for help,0.56,8
240,1,1,Try to raise the money through GoFundMe,1.0,9
241,1,2,Take out a personal loan to cover the costs,1.0,9
242,1,3,Write letters to rich people and explain the situation,1.0,9
243,1,4,Put it on a credit card and then work extra hours to pay it off,1.0,9
244,1,5,Steal the money,0.5,9
245,2,1,Call an Uber,1.0,9
246,2,2,Call a friend to come pick him up,1.0,9
247,2,3,Hitchhike to the airport,1.0,9
248,2,4,Fix his car,1.0,9
249,2,5,Call a Taxi,1.0,9
250,3,1,Review camera footage to see where the money went missing,1.0,9
251,3,2,Tell the manager that it's his fault and not to punish everyone else,0.9666666666666667,9
252,3,3,Put $50.75 of his own money into the register,0.75,9
253,3,4,Ask the staff to all pitch in some money ,0.35,9
254,3,5,Quit his job,0.33666666666666667,9
255,4,1,Use the phone at the gym to call her friend,1.0,9
256,4,2,Renew her membership,1.0,9
257,4,3,Wait for her friend to get to the gym and explain the situation,1.0,9
258,4,4,Go back to the office and get her phone,0.75,9
259,4,5,Try to sneak in and play without a membership,0.33666666666666667,9
260,5,1,Explain the situation to her teacher,1.0,9
261,5,2,Call her mom and ask her to bring the assignment,1.0,9
262,5,3,Ask to turn the assignment in later,0.9166666666666666,9
263,5,4,Pretend to be sick ,0.5,9
264,5,5,Make up a lie as to why she doesn't have the assignment,0.5,9
265,6,1,Build a shelter,0.9333333333333333,9
266,6,2,Gather firewood,1.0,9
267,6,3,Build a fire,1.0,9
268,6,4,Huddle together for warmth,1.0,9
269,6,5,Try to find the right way home before it's too late,0.4166666666666667,9
270,1,1,Sell some personal possessions,0.9466666666666667,10
271,1,2,Create a gofund me account.,0.6,10
272,1,3,Borrow from family and friends,0.97,10
273,1,4,Rob a bank,0.0033333333333333335,10
274,1,5,Don't buy the medicine.,0.02666666666666667,10
275,2,1,Call a taxi,1.0,10
276,2,2,Try to thumb a ride,0.63,10
277,2,3,Call roadside assistance,1.0,10
278,2,4,Start walking ,0.44333333333333336,10
279,2,5,Find a bus stop,0.76,10
280,3,1,Recount the cash from the register,1.0,10
281,3,2,Pay the difference out of his own pocket,0.6,10
282,3,3,Accuse an employee of making a mistake,0.39666666666666667,10
283,3,4,Hide the mistake somehow,0.12666666666666668,10
284,3,5,Report a robbery to the police.,0.016666666666666666,10
285,4,1,Ask to use the receptionist's phone at the gym.,0.6366666666666667,10
286,4,2,Renew her membership,0.97,10
287,4,3,Find a pay phone to use.,0.75,10
288,4,4,Borrow another member's phone,0.5633333333333334,10
289,4,5,Simply wait for her friend to arrive.,0.38,10
290,5,1,Call her mother and have her bring it to school,0.93,10
291,5,2,Tell the teacher the dog ate her homework,0.30333333333333334,10
292,5,3,Copy a friend's assignment,0.4,10
293,5,4,Skip class,0.35,10
294,5,5,Fake an illness to get out of class,0.08333333333333333,10
295,6,1,Start a fire,1.0,10
296,6,2,Forage or hunt for food,0.99,10
297,6,3,Hide remaining food and water from friends,0.20333333333333334,10
298,6,4,Steal food or water from friends,0.03666666666666667,10
299,6,5,Resort to cannibalism,0.0033333333333333335,10
300,1,1,Start a charity for his wife,1.0,11
301,1,2,reach out to family members and ask for money,1.0,11
302,1,3,Ask the hospital to finance it,1.0,11
303,1,4,Try to make a viral video and collect money,0.9333333333333333,11
304,1,5,Don't do anything ,0.0033333333333333335,11
305,2,1,Sit in the car and do nothing,0.36666666666666664,11
306,2,2,Call the police and ask for help,0.9,11
307,2,3,"Call the flight company, explain the situation and ask for the next flight",1.0,11
308,2,4,Tow his car and take an uber to the airport,1.0,11
309,2,5,Ask drivers for help to push his car into a parking lot and ask for a ride,0.4666666666666667,11
310,3,1,Ask the employers,1.0,11
311,3,2,Make everybody work over time,0.5666666666666667,11
312,3,3,"Ask the employers, tell them if nobody comes forward everybody has to do overtime",1.0,11
313,3,4,"Ask the employers, tell them that person can come to his office in private",1.0,11
314,3,5,Put his own personal money into the register,0.1,11
315,4,1,Ask the desk if she can make a phone call,0.9666666666666667,11
316,4,2,Just wait for her friend at the gym,1.0,11
317,4,3,Leave the gym and go back to the office to give her friend a call,0.7333333333333333,11
318,4,4,Pay for a new membership,0.9,11
319,4,5,Ask the desk for a free entry,0.25,11
320,5,1,Call her mom and ask to bring it to school,1.0,11
321,5,2,Call home and see if anybody is at home who could bring it,1.0,11
322,5,3,Explain the situation and ask the teacher to turn in the homework one day late,1.0,11
323,5,4,Offer the teacher to bring it in the evening,1.0,11
324,5,5,Explain the situation to the teacher and if the teacher is not satisfied offer her extra work to make up for it,0.95,11
325,6,1,Ask his friends if they know where they are ,1.0,11
326,6,2,Call the rescue team,1.0,11
327,6,3,Try to mark places they have been and try to find their way,1.0,11
328,6,4,"Brainstorm with friends about the way back, collect all pieces together",1.0,11
329,6,5,Don't say anything and just pretend they are not lost and continue to walk,0.03333333333333333,11
330,1,1,Heinz try to claim medical loan,0.5,12
331,1,2,Heinz try to get help from others,0.5433333333333333,12
332,1,3,Heinz try to seek a good job,0.5633333333333334,12
333,1,4,Heinz try to get a job for more paid,0.5233333333333333,12
334,1,5,Heinz try to get help from his friends,0.5733333333333334,12
335,2,1,he should try to repair his car,0.44,12
336,2,2,he should to get help from others,0.42333333333333334,12
337,2,3,he should try to get lift from others,0.49,12
338,2,4,he should book a taxi,0.5033333333333333,12
339,2,5,he should call upon his friends,0.5266666666666666,12
340,3,1,he should try to pay for it,0.49,12
341,3,2,he should find that the money,0.54,12
342,3,3,he should try to find where the money is,0.5666666666666667,12
343,3,4,he should try to balance the missing money,0.5733333333333334,12
344,3,5,he should rectify the mistake,0.5333333333333333,12
345,4,1,she should get help from others,0.49666666666666665,12
346,4,2,she try to contact her friend from other phone ,0.5333333333333333,12
347,4,3,she try to get with her friend house ,0.55,12
348,4,4,she try to get her phone by seeking help from others,0.5033333333333333,12
349,4,5,she try to intimate her friend,0.5733333333333334,12
350,5,1,she should find help,0.53,12
351,5,2,she should find help from others,0.5833333333333334,12
352,5,3,she should find help from her friends,0.58,12
353,5,4,she should find help from her family ,0.5533333333333333,12
354,5,5,she should find help from her school,0.5533333333333333,12
355,6,1,he should find them,0.53,12
356,6,2,he should make a search on him,0.5633333333333334,12
357,6,3,he should try to rescue them,0.5433333333333333,12
358,6,4,he should go onto the spot,0.53,12
359,6,5,he should get rescue on them,0.52,12
360,1,1,Set up a go-fund- me to raise month.,0.9333333333333333,13
361,1,2,Take out a loan for the medication.,0.8366666666666667,13
362,1,3,Contact his congresspeople for help.,0.8133333333333334,13
363,1,4,Contact the maker of the prescription to see if they will lower the price. ,0.8633333333333333,13
364,1,5,Look for programs that help people in need.,1.0,13
365,2,1,See how long it would take AAA to get there.,1.0,13
366,2,2,Reschedule the flight.,0.49666666666666665,13
367,2,3,Check if the flight is running late.,1.0,13
368,2,4,Call an uber and have his car towed after.,0.97,13
369,2,5,Rethink how important it is to kill wild animals in Africa.,0.3333333333333333,13
370,3,1,Double check the books for errors.,1.0,13
371,3,2,Watch the cameras to see if it was theft.,1.0,13
372,3,3,Check with his employees to see if they remember giving out the wrong change. ,0.8166666666666667,13
373,3,4,Put the money in the register himself.,0.8033333333333333,13
374,3,5,Fake the numbers so it looks like there is no loss.,0.12666666666666668,13
375,4,1,Ask the gym to comp her one day.,1.0,13
376,4,2,Ask to use the gym's phone,0.94,13
377,4,3,Sneak in behind someone else.,0.0,13
378,4,4,Ask the gym to use the credit card on file from her last membership.,0.94,13
379,4,5,Stand outside until her friend gets there and see if she will front her the oney for a new membership.,1.0,13
380,5,1,Call her mom to see if there is some way she can get it.,1.0,13
381,5,2,Ask the teacher for an extension given the circumstance.,1.0,13
382,5,3,Do nothing and deal with the consequences later. ,0.02666666666666667,13
383,5,4,Skip class.,0.0,13
384,5,5,Pretend she is sick to get out of class.,0.08333333333333333,13
385,6,1,Build a fire. A large fire so they can keep warm and so rescue can find them.,1.0,13
386,6,2,Ration the food and water.,0.97,13
387,6,3,Set off the rescue beeper.,1.0,13
388,6,4,Make a wind break if they don't have tents.,1.0,13
389,6,5,Bundle up to preserve body heat.,1.0,13
390,1,1,ask if generic is available,1.0,14
391,1,2,seek out help from outside agencies,0.96,14
392,1,3,try to find a way to come up with the money to pay for it,0.9666666666666667,14
393,1,4,look for prescription coupons or discount services,0.89,14
394,1,5,ask a family memeber to borrow the money,0.88,14
395,2,1,call someone for help,0.9966666666666667,14
396,2,2,see if there is another flight that goes out later on,0.9466666666666667,14
397,2,3,call a tow truck or mechanic,0.98,14
398,2,4,flag down another car for help,0.8966666666666666,14
399,2,5,try to fix the car himself,0.9433333333333334,14
400,3,1,recount the money to make sure that much is missing,0.9233333333333333,14
401,3,2,tell the manager the truth,0.8966666666666666,14
402,3,3,ask the manager if he could for go the overtime for staff,0.8,14
403,3,4,put his own money in the drawer to make up for the loss,0.3933333333333333,14
404,3,5,find out who made the mistake and hold only them accountable,0.83,14
405,4,1,go to the gym and explain the situation,0.9633333333333334,14
406,4,2,tell her friend the next day that she was sick and couldn't make it,0.44666666666666666,14
407,4,3,go to the gym and renew her memebership,0.9133333333333333,14
408,4,4,call the gym and have them get a message to Liz,1.0,14
409,4,5,go and play racquetball anyway even though the membership is expired,0.38,14
410,5,1,tell the teacher what happened,0.94,14
411,5,2,call her mom to bring her the assignment,0.98,14
412,5,3,ask if she could stay after class to redo the assignment,0.92,14
413,5,4,make up a story to her teacher so she doesn't get in trouble,0.4666666666666667,14
414,5,5,offer to bring in the assignment tomorrow,0.9433333333333334,14
415,6,1,look for something to start a fire with,0.9866666666666667,14
416,6,2,look for shelter ,1.0,14
417,6,3,try to find out where they are to find a way out of there,0.89,14
418,6,4,look for water and food in their location,1.0,14
419,6,5,write sos in the dirt or snow,0.9133333333333333,14
420,1,1,Sell one of his kidneys,0.22,15
421,1,2,Get a second job,0.98,15
422,1,3,take out a second mortgage,0.79,15
423,1,4,appeal his insurance's decision,0.8133333333333334,15
424,1,5,rob a bank,0.07,15
425,2,1,Try to call the airport to explain the situation.,0.8133333333333334,15
426,2,2,"leave his car, hail a taxi and go to the airport.",0.4533333333333333,15
427,2,3,steal another car to get to the airport,0.0,15
428,2,4,ask someone else for a ride to the airport,0.26666666666666666,15
429,2,5,forfeit it all as lost,0.8466666666666667,15
430,3,1,use his own money to cover the shortfall,0.45666666666666667,15
431,3,2,fudge the numbers so the shortfall is gone,0.39666666666666667,15
432,3,3,fudge the numbers so the shortfall is less and therefore they have to work less to make up the difference.,0.4066666666666667,15
433,3,4,tell his manager the truth,0.6366666666666667,15
434,3,5,blame the difference on a coworker,0.4266666666666667,15
435,4,1,Go back to work w/o talking to her friend,0.37,15
436,4,2,go back to work and call her friend from there,0.9333333333333333,15
437,4,3,see if the gym will let her in so she can re-up her membership,0.94,15
438,4,4,Leave a message on her friend's car.,0.6033333333333334,15
439,4,5,borrow a passerby's phone to call her friend.,0.68,15
440,5,1,explain the situation to her teacher,0.9966666666666667,15
441,5,2,try to call her mom to have her bring the homework to her at school,0.9733333333333334,15
442,5,3,do nothing,0.7766666666666666,15
443,5,4,ask for an extension,0.72,15
444,5,5,leave school to get her work,0.54,15
445,6,1,Kill a bear and climb inside it for warmth,0.013333333333333334,15
446,6,2,kill one of his friends and use them for food,0.0,15
447,6,3,try to find a river and follow it downstream and hope it leads to peopel,0.5666666666666667,15
448,6,4,stay put and ration resources,1.0,15
449,6,5,keep calm and hike on,0.5133333333333333,15
450,1,1,Ask a relative to borrow the money to purchase medication,0.7066666666666667,16
451,1,2,Find an alternative cheaper medication,0.9366666666666666,16
452,1,3,Talk to the medical person and find out if there is another way to get the medication,0.38333333333333336,16
453,1,4,Sell personal item to get money from medication,0.69,16
454,1,5,Get a job to earn money to purchase own medication,0.9333333333333333,16
455,2,1,Call someone to give him a ride to the airport,0.85,16
456,2,2,Get an Uber to the airport and have family members get car,0.9833333333333333,16
457,2,3,Try to fix car and still get to the airport,0.7666666666666667,16
458,2,4,Call a friend that knows how to fix cars,0.89,16
459,2,5,Leave the car and get bus to airport,0.15666666666666668,16
460,3,1,Add additional money from own fund,0.7766666666666666,16
461,3,2,Ask co-workers if they know what may have happened to the money,0.8666666666666667,16
462,3,3,Tell the manager that it was an error and the items were not actually purchased,0.4066666666666667,16
463,3,4,Ask all the co-workers to contribute to the missing funds,0.4633333333333333,16
464,3,5,Not say anything about it and act like you did not know that it was missing,0.22333333333333333,16
465,4,1,Wait there and let her friend know when she gets there,0.8666666666666667,16
466,4,2,Ask someone to contact her for you,0.48,16
467,4,3,Find out if you are able to pay your way into the gym for one-day use,0.89,16
468,4,4,Talk to the front desk and see if they would make an exception,0.46,16
469,4,5,Renew your membership,0.91,16
470,5,1,Call home and ask if mom can bring homework to school,0.87,16
471,5,2,Tell teacher that you can hand it in later that day,0.9066666666666666,16
472,5,3,Complete the homework assignment again before the class starts that day,0.7933333333333333,16
473,5,4,Explain to the teacher what had happened,0.9066666666666666,16
474,5,5,Not do anything and allow the missing homework assignment to damage grade,0.20666666666666667,16
475,6,1,Find a source of food to eat,0.9266666666666666,16
476,6,2,Look for wood to make a fire,0.9166666666666666,16
477,6,3,If he has a phone try and contact someone,0.9966666666666667,16
478,6,4,Search for a source of water,0.93,16
479,6,5,Rest and then wake up and find food and water,0.57,16
480,1,1,apply for medical welfare,0.8333333333333334,17
481,1,2,ask a doctor if there's any comparable medication that is cheaper,0.9666666666666667,17
482,1,3,contact a local spiritual assembly to start a donation fund,0.7666666666666667,17
483,1,4,sell items in their home that they don't use anymore,1.0,17
484,1,5,look for a local support group that deals with his wife's illness and see if they havve any ideas,0.8166666666666667,17
485,2,1,ditch his car and call a cab,0.08,17
486,2,2,call a mechanic to tow the car and catch a cab in the meantime,1.0,17
487,2,3,call a friend to pick him up,0.9066666666666666,17
488,2,4,ask for a ride from a passerby,0.6933333333333334,17
489,2,5,start running to the airport on the side of the road,0.34,17
490,3,1,tell the manager the truth and offer to work all the overtime to make up for it,0.9866666666666667,17
491,3,2,take the money from his own pay to balance the register,1.0,17
492,3,3,look around for the lost cash,0.97,17
493,3,4,blame one of his coworkers for stealing the cash,0.06666666666666667,17
494,3,5,make up a story about being robbed,0.0,17
495,4,1,ask the person at the desk to call her friend for her,1.0,17
496,4,2,ditch her friend and go back to work to get her phone,0.45666666666666667,17
497,4,3,ask someone coming in to get her friend,0.78,17
498,4,4,run past the desk and find her friend inside the gym,0.01,17
499,4,5,ask to see a manager and renew her membership,0.9233333333333333,17
500,5,1,call her mother to bring the paper to school,0.9666666666666667,17
501,5,2,tell her teacher the truth and ask for a 1-day extension,1.0,17
502,5,3,ask her mother to bring it at the end of school and run it to the teacher then,0.9833333333333333,17
503,5,4,ask to copy someone else's homework before class,0.21,17
504,5,5,ditch an earlier class to run home and get the homework,0.24,17
505,6,1,brad could dig a hole and have them huddle in it,0.5266666666666666,17
506,6,2,brad could have everyone share the same tent to conserve heat,1.0,17
507,6,3,brad could sharpen a stick to hunt for food,0.9033333333333333,17
508,6,4,brad could tell his friends what is going on so they can plan together,1.0,17
509,6,5,brad can use his cellphone to try and get reception ,1.0,17
510,1,1,Heinz can start a GoFundMe page to help with the costs.,0.95,18
511,1,2,Heinz can call the drug manufacturer and see if they can help reduce the expense.,0.9833333333333333,18
512,1,3,Heinz can seek out a prescription assistance program.,0.9666666666666667,18
