"id","context","answer","Probability","Morality","Normality","response"
5,4,5,91,100,100,"Ask the person at the desk to let her in just this once"
5,5,1,99,93,100,"Skip class"
5,5,2,82,100,100,"Quickly redo the homework"
5,5,3,89,81,97,"Lie about what happened to the teacher"
5,5,4,98,100,100,"Tell the teacher what happened"
5,5,5,24,93,98,"Steal someone else's homework"
5,6,1,100,100,100,"Wait for rescue"
5,6,2,29,50,50,"Leave his friends and look for a path home"
5,6,3,85,100,100,"Search for fire material and start a fire"
5,6,4,59,99,100,"Divide up the group to look for food/water"
5,6,5,63,100,100,"Work with his friends to find a path out"
6,1,1,100,100,100,"Sell things"
6,1,2,5,100,38,"Accept fate and die"
6,1,3,7,100,60,"Start a go fund me page"
6,1,4,1,100,100,"Pray for miricle"
6,1,5,44,13,12,"Beg relatives and friends for cash"
6,2,1,5,100,100,"Forget flightfix car"
6,2,2,7,100,100,"Get refund for trip"
6,2,3,6,100,100,"Call tow truck"
6,2,4,4,45,45,"Abandon car "
6,2,5,100,100,100,"Change flight"
6,3,1,3,100,6,"Quit"
6,3,2,90,3,18,"Pay the money himself"
6,3,3,12,1,2,"Void sales to balance"
6,3,4,88,100,100,"Call staff find out who stole it."
6,3,5,100,100,100,"Watch video of clerks."
6,4,1,8,100,100,"Pay her bill"
6,4,2,91,100,100,"Wait for friend do something else"
6,4,3,8,7,9,"Ditch friend and lie"
6,4,4,32,100,100,"Go get phone"
6,4,5,35,100,100,"Borrow someones phone"
6,5,1,4,2,3,"Buy soeone elses and write her name on it."
6,5,2,30,3,2,"Plagerize from the internet."
6,5,3,92,95,97,"Call mom"
6,5,4,100,100,100,"Tell teacher she needs time to turn in and why."
6,5,5,10,23,24,"Skip class"
6,6,1,100,33,33,"Call for rescue"
6,6,2,100,100,100,"Build a shelter"
6,6,3,100,80,100,"Start a large fire"
6,6,4,77,100,100,"Go south till civilization"
6,6,5,3,1,1,"Turn into the Donner party"
7,1,1,100,100,100,"Heinz could ask his family for help"
7,1,2,80,100,100,"Heinz could ask friends for help"
7,1,3,71,100,80,"Heinz could set up a Go Fund Me"
7,1,4,0,20,0,"Heinz could steal the money somewhere"
7,1,5,70,100,100,"Heinz could pick up another job"
7,2,1,100,80,100,"Josh can call an uber"
7,2,2,100,100,100,"Josh can call a friend to come help"
7,2,3,60,100,100,"Josh can catch the next flight"
7,2,4,50,100,90,"Josh can ask someone nearby for help"
7,2,5,60,100,100,"Josh can call roadside assistance if he has it"
7,3,1,30,100,40,"Brian could put in some money from his own pocket"
7,3,2,100,100,100,"Brian could do nothing"
7,3,3,100,100,100,"Brian could tell his manager once he realizes"
7,3,4,30,0,20,"Brian could blame someone else"
7,3,5,60,100,100,"Brian could try to find out who did it"
7,4,1,100,100,100,"Liz can wait for her friend to explain the situation"
7,4,2,0,0,0,"Liz can leave without saying anything"
7,4,3,80,100,100,"Liz can renew her membership"
7,4,4,20,50,10,"Liz can not renew her membership"
7,4,5,60,100,80,"Liz can ask the front desk if she can play, and explain her situation"
7,5,1,100,100,100,"Mary could explain the situation to her teacher"
7,5,2,90,100,90,"Mary could call her mom and ask to bring the assignment"
7,5,3,30,100,40,"Mary could do nothing"
7,5,4,80,100,100,"Mary could bring her assignment next time with a note from her mom"
7,5,5,80,100,90,"Mary could ask for an extension"
7,6,1,60,100,100,"Brad could light a flare if he has one to alert the rescue crew"
7,6,2,100,100,100,"Brad can try to get to higher ground to see where he is"
7,6,3,100,100,100,"Brad can try to use his phone if he has one to contact emergency services"
7,6,4,100,100,100,"Brad can yell for help"
7,6,5,100,100,100,"Brad can look for more food and water in the meantime"
8,1,1,88,97,95,"Ask family for money"
8,1,2,39,94,56,"Sell their house for money"
8,1,3,2,3,4,"Break into the pharmacy and steal the medicine"
8,1,4,5,2,3,"Steal the money"
8,1,5,72,99,92,"Create a gofundme account to raise money"
8,2,1,10,100,21,"He could get out and run"
8,2,2,5,86,7,"He could try to hitchhike"
8,2,3,72,96,79,"He could call a taxi service"
8,2,4,81,100,89,"He could try to fix the car"
8,2,5,90,100,92,"He could call a relative to give him a ride"
8,3,1,32,8,32,"Let the staff work overtime"
8,3,2,49,87,69,"Supply the money out of his own pocket"
8,3,3,77,31,79,"Ask the staff to contribute to the money"
8,3,4,9,4,10,"Steal the money and put it in the register"
8,3,5,39,79,60,"Ask his family for the money"
8,4,1,10,4,6,"Let her friend wait for her before getting up"
8,4,2,90,100,91,"Borrow somebody else's phone"
8,4,3,91,100,100,"Ask somebody else to tell her friend"
8,4,4,78,100,84,"Tell the receptionist at the gym what's going on"
8,4,5,58,100,65,"Quickly renew her membership"
8,5,1,95,100,94,"Explain to the teacher exactly what happened"
8,5,2,3,5,3,"Steal somebody else's homework assignment and turn it in as her own"
8,5,3,61,18,73,"Copy somebody else's homework and turn it in"
8,5,4,73,97,87,"Try to complete the assignment as quickly as possible"
8,5,5,71,5,79,"Fake an illness"
8,6,1,82,97,90,"Sit tight and do not move"
8,6,2,15,37,32,"Create a fire with lots of smoke"
8,6,3,61,52,70,"Use the sun to determine the direction and start walking"
8,6,4,78,95,91,"Find shelter out of the elements"
8,6,5,24,85,59,"Climb a tree and call out for help"
9,1,1,100,100,100,"Try to raise the money through GoFundMe"
9,1,2,100,100,100,"Take out a personal loan to cover the costs"
9,1,3,100,100,100,"Write letters to rich people and explain the situation"
9,1,4,100,100,100,"Put it on a credit card and then work extra hours to pay it off"
9,1,5,50,50,50,"Steal the money"
9,2,1,100,100,100,"Call an Uber"
9,2,2,100,100,100,"Call a friend to come pick him up"
9,2,3,100,100,100,"Hitchhike to the airport"
9,2,4,100,100,100,"Fix his car"
9,2,5,100,100,100,"Call a Taxi"
9,3,1,100,100,100,"Review camera footage to see where the money went missing"
9,3,2,90,100,100,"Tell the manager that it's his fault and not to punish everyone else"
9,3,3,25,100,100,"Put $50.75 of his own money into the register"
9,3,4,5,50,50,"Ask the staff to all pitch in some money "
9,3,5,1,50,50,"Quit his job"
9,4,1,100,100,100,"Use the phone at the gym to call her friend"
9,4,2,100,100,100,"Renew her membership"
9,4,3,100,100,100,"Wait for her friend to get to the gym and explain the situation"
9,4,4,25,100,100,"Go back to the office and get her phone"
9,4,5,1,0,100,"Try to sneak in and play without a membership"
9,5,1,100,100,100,"Explain the situation to her teacher"
9,5,2,100,100,100,"Call her mom and ask her to bring the assignment"
9,5,3,75,100,100,"Ask to turn the assignment in later"
9,5,4,50,0,100,"Pretend to be sick "
9,5,5,50,0,100,"Make up a lie as to why she doesn't have the assignment"
9,6,1,80,100,100,"Build a shelter"
9,6,2,100,100,100,"Gather firewood"
9,6,3,100,100,100,"Build a fire"
9,6,4,100,100,100,"Huddle together for warmth"
9,6,5,25,50,50,"Try to find the right way home before it's too late"
10,1,1,91,100,93,"Sell some personal possessions"
10,1,2,50,100,30,"Create a gofund me account."
10,1,3,91,100,100,"Borrow from family and friends"
10,1,4,1,0,0,"Rob a bank"
10,1,5,5,1,2,"Don't buy the medicine."
10,2,1,100,100,100,"Call a taxi"
10,2,2,57,74,58,"Try to thumb a ride"
10,2,3,100,100,100,"Call roadside assistance"
10,2,4,21,100,12,"Start walking "
10,2,5,57,100,71,"Find a bus stop"
10,3,1,100,100,100,"Recount the cash from the register"
10,3,2,60,100,20,"Pay the difference out of his own pocket"
10,3,3,49,20,50,"Accuse an employee of making a mistake"
10,3,4,19,9,10,"Hide the mistake somehow"
10,3,5,1,2,2,"Report a robbery to the police."
10,4,1,71,100,20,"Ask to use the receptionist's phone at the gym."
10,4,2,91,100,100,"Renew her membership"
10,4,3,25,100,100,"Find a pay phone to use."
10,4,4,49,100,20,"Borrow another member's phone"
10,4,5,51,52,11,"Simply wait for her friend to arrive."
10,5,1,87,100,92,"Call her mother and have her bring it to school"
10,5,2,30,12,49,"Tell the teacher the dog ate her homework"
10,5,3,68,0,52,"Copy a friend's assignment"
10,5,4,50,4,51,"Skip class"
10,5,5,11,1,13,"Fake an illness to get out of class"
10,6,1,100,100,100,"Start a fire"
10,6,2,97,100,100,"Forage or hunt for food"
10,6,3,50,0,11,"Hide remaining food and water from friends"
10,6,4,9,0,2,"Steal food or water from friends"
10,6,5,1,0,0,"Resort to cannibalism"
11,1,1,100,100,100,"Start a charity for his wife"
11,1,2,100,100,100,"reach out to family members and ask for money"
11,1,3,100,100,100,"Ask the hospital to finance it"
11,1,4,80,100,100,"Try to make a viral video and collect money"
11,1,5,1,0,0,"Don't do anything "
11,2,1,10,50,50,"Sit in the car and do nothing"
11,2,2,70,100,100,"Call the police and ask for help"
11,2,3,100,100,100,"Call the flight company, explain the situation and ask for the next flight"
11,2,4,100,100,100,"Tow his car and take an uber to the airport"
11,2,5,40,50,50,"Ask drivers for help to push his car into a parking lot and ask for a ride"
11,3,1,100,100,100,"Ask the employers"
11,3,2,70,50,50,"Make everybody work over time"
11,3,3,100,100,100,"Ask the employers, tell them if nobody comes forward everybody has to do overtime"
11,3,4,100,100,100,"Ask the employers, tell them that person can come to his office in private"
11,3,5,10,10,10,"Put his own personal money into the register"
11,4,1,90,100,100,"Ask the desk if she can make a phone call"
11,4,2,100,100,100,"Just wait for her friend at the gym"
11,4,3,70,75,75,"Leave the gym and go back to the office to give her friend a call"
11,4,4,70,100,100,"Pay for a new membership"
11,4,5,20,25,30,"Ask the desk for a free entry"
11,5,1,100,100,100,"Call her mom and ask to bring it to school"
11,5,2,100,100,100,"Call home and see if anybody is at home who could bring it"
11,5,3,100,100,100,"Explain the situation and ask the teacher to turn in the homework one day late"
11,5,4,100,100,100,"Offer the teacher to bring it in the evening"
11,5,5,85,100,100,"Explain the situation to the teacher and if the teacher is not satisfied offer her extra work to make up for it"
11,6,1,100,100,100,"Ask his friends if they know where they are "
11,6,2,100,100,100,"Call the rescue team"
11,6,3,100,100,100,"Try to mark places they have been and try to find their way"
11,6,4,100,100,100,"Brainstorm with friends about the way back, collect all pieces together"
11,6,5,10,0,0,"Don't say anything and just pretend they are not lost and continue to walk"
12,1,1,29,67,54,"Heinz try to claim medical loan"
12,1,2,36,72,55,"Heinz try to get help from others"
12,1,3,44,70,55,"Heinz try to seek a good job"
12,1,4,36,66,55,"Heinz try to get a job for more paid"
12,1,5,43,70,59,"Heinz try to get help from his friends"
12,2,1,26,57,49,"he should try to repair his car"
12,2,2,22,59,46,"he should to get help from others"
12,2,3,31,67,49,"he should try to get lift from others"
12,2,4,33,67,51,"he should book a taxi"
12,2,5,34,69,55,"he should call upon his friends"
12,3,1,29,67,51,"he should try to pay for it"
12,3,2,35,70,57,"he should find that the money"
12,3,3,36,75,59,"he should try to find where the money is"
12,3,4,38,74,60,"he should try to balance the missing money"
12,3,5,36,67,57,"he should rectify the mistake"
12,4,1,32,62,55,"she should get help from others"
12,4,2,35,71,54,"she try to contact her friend from other phone "
12,4,3,39,70,56,"she try to get with her friend house "
12,4,4,33,65,53,"she try to get her phone by seeking help from others"
12,4,5,48,68,56,"she try to intimate her friend"
12,5,1,36,69,54,"she should find help"
12,5,2,40,74,61,"she should find help from others"
12,5,3,41,73,60,"she should find help from her friends"
12,5,4,32,74,60,"she should find help from her family "
12,5,5,35,73,58,"she should find help from her school"
12,6,1,34,72,53,"he should find them"
12,6,2,37,75,57,"he should make a search on him"
12,6,3,37,69,57,"he should try to rescue them"
12,6,4,37,70,52,"he should go onto the spot"
12,6,5,34,70,52,"he should get rescue on them"
13,1,1,80,100,100,"Set up a go-fund- me to raise month."
13,1,2,61,100,90,"Take out a loan for the medication."
13,1,3,51,100,93,"Contact his congresspeople for help."
13,1,4,87,100,72,"Contact the maker of the prescription to see if they will lower the price. "
13,1,5,100,100,100,"Look for programs that help people in need."
13,2,1,100,100,100,"See how long it would take AAA to get there."
13,2,2,29,100,20,"Reschedule the flight."
13,2,3,100,100,100,"Check if the flight is running late."
13,2,4,91,100,100,"Call an uber and have his car towed after."
13,2,5,0,100,0,"Rethink how important it is to kill wild animals in Africa."
13,3,1,100,100,100,"Double check the books for errors."
13,3,2,100,100,100,"Watch the cameras to see if it was theft."
13,3,3,61,92,92,"Check with his employees to see if they remember giving out the wrong change. "
13,3,4,81,100,60,"Put the money in the register himself."
13,3,5,32,0,6,"Fake the numbers so it looks like there is no loss."
13,4,1,100,100,100,"Ask the gym to comp her one day."
13,4,2,91,100,91,"Ask to use the gym's phone"
13,4,3,0,0,0,"Sneak in behind someone else."
13,4,4,82,100,100,"Ask the gym to use the credit card on file from her last membership."
13,4,5,100,100,100,"Stand outside until her friend gets there and see if she will front her the oney for a new membership."
13,5,1,100,100,100,"Call her mom to see if there is some way she can get it."
13,5,2,100,100,100,"Ask the teacher for an extension given the circumstance."
13,5,3,5,3,0,"Do nothing and deal with the consequences later. "
13,5,4,0,0,0,"Skip class."
13,5,5,19,0,6,"Pretend she is sick to get out of class."
13,6,1,100,100,100,"Build a fire. A large fire so they can keep warm and so rescue can find them."
13,6,2,91,100,100,"Ration the food and water."
13,6,3,100,100,100,"Set off the rescue beeper."
13,6,4,100,100,100,"Make a wind break if they don't have tents."
13,6,5,100,100,100,"Bundle up to preserve body heat."
14,1,1,100,100,100,"ask if generic is available"
14,1,2,88,100,100,"seek out help from outside agencies"
14,1,3,90,100,100,"try to find a way to come up with the money to pay for it"
14,1,4,77,100,90,"look for prescription coupons or discount services"
14,1,5,90,84,90,"ask a family memeber to borrow the money"
14,2,1,99,100,100,"call someone for help"
14,2,2,84,100,100,"see if there is another flight that goes out later on"
14,2,3,94,100,100,"call a tow truck or mechanic"
14,2,4,82,94,93,"flag down another car for help"
14,2,5,83,100,100,"try to fix the car himself"
14,3,1,77,100,100,"recount the money to make sure that much is missing"
14,3,2,69,100,100,"tell the manager the truth"
14,3,3,57,100,83,"ask the manager if he could for go the overtime for staff"
14,3,4,82,1,35,"put his own money in the drawer to make up for the loss"
14,3,5,64,100,85,"find out who made the mistake and hold only them accountable"
14,4,1,89,100,100,"go to the gym and explain the situation"
14,4,2,71,13,50,"tell her friend the next day that she was sick and couldn't make it"
14,4,3,89,100,85,"go to the gym and renew her memebership"
14,4,4,100,100,100,"call the gym and have them get a message to Liz"
14,4,5,59,18,37,"go and play racquetball anyway even though the membership is expired"
14,5,1,86,100,96,"tell the teacher what happened"
14,5,2,94,100,100,"call her mom to bring her the assignment"
14,5,3,82,100,94,"ask if she could stay after class to redo the assignment"
14,5,4,81,19,40,"make up a story to her teacher so she doesn't get in trouble"
14,5,5,83,100,100,"offer to bring in the assignment tomorrow"
14,6,1,96,100,100,"look for something to start a fire with"
14,6,2,100,100,100,"look for shelter "
14,6,3,82,100,85,"try to find out where they are to find a way out of there"
14,6,4,100,100,100,"look for water and food in their location"
14,6,5,90,100,84,"write sos in the dirt or snow"
15,1,1,0,54,12,"Sell one of his kidneys"
15,1,2,94,100,100,"Get a second job"
15,1,3,50,99,88,"take out a second mortgage"
15,1,4,51,100,93,"appeal his insurance's decision"
15,1,5,2,0,19,"rob a bank"
15,2,1,52,100,92,"Try to call the airport to explain the situation."
15,2,2,20,71,45,"leave his car, hail a taxi and go to the airport."
15,2,3,0,0,0,"steal another car to get to the airport"
15,2,4,23,49,8,"ask someone else for a ride to the airport"
15,2,5,69,100,85,"forfeit it all as lost"
15,3,1,30,71,36,"use his own money to cover the shortfall"
15,3,2,50,0,69,"fudge the numbers so the shortfall is gone"
15,3,3,51,21,50,"fudge the numbers so the shortfall is less and therefore they have to work less to make up the difference."
15,3,4,27,100,64,"tell his manager the truth"
15,3,5,59,0,69,"blame the difference on a coworker"
15,4,1,25,25,61,"Go back to work w/o talking to her friend"
15,4,2,85,97,98,"go back to work and call her friend from there"
15,4,3,83,100,99,"see if the gym will let her in so she can re-up her membership"
15,4,4,39,76,66,"Leave a message on her friend's car."
15,4,5,46,91,67,"borrow a passerby's phone to call her friend."
15,5,1,99,100,100,"explain the situation to her teacher"
15,5,2,92,100,100,"try to call her mom to have her bring the homework to her at school"
15,5,3,74,74,85,"do nothing"
15,5,4,66,75,75,"ask for an extension"
15,5,5,46,55,61,"leave school to get her work"
15,6,1,0,4,0,"Kill a bear and climb inside it for warmth"
15,6,2,0,0,0,"kill one of his friends and use them for food"
15,6,3,30,100,40,"try to find a river and follow it downstream and hope it leads to peopel"
15,6,4,100,100,100,"stay put and ration resources"
15,6,5,52,42,60,"keep calm and hike on"
16,1,1,88,52,72,"Ask a relative to borrow the money to purchase medication"
16,1,2,92,95,94,"Find an alternative cheaper medication"
16,1,3,51,28,36,"Talk to the medical person and find out if there is another way to get the medication"
16,1,4,63,82,62,"Sell personal item to get money from medication"
16,1,5,85,100,95,"Get a job to earn money to purchase own medication"
16,2,1,91,100,64,"Call someone to give him a ride to the airport"
16,2,2,100,98,97,"Get an Uber to the airport and have family members get car"
16,2,3,35,100,95,"Try to fix car and still get to the airport"
16,2,4,84,100,83,"Call a friend that knows how to fix cars"
16,2,5,11,6,30,"Leave the car and get bus to airport"
16,3,1,90,100,43,"Add additional money from own fund"
16,3,2,87,73,100,"Ask co-workers if they know what may have happened to the money"
16,3,3,83,15,24,"Tell the manager that it was an error and the items were not actually purchased"
16,3,4,49,61,29,"Ask all the co-workers to contribute to the missing funds"
16,3,5,36,10,21,"Not say anything about it and act like you did not know that it was missing"
16,4,1,84,95,81,"Wait there and let her friend know when she gets there"
16,4,2,29,59,56,"Ask someone to contact her for you"
16,4,3,78,96,93,"Find out if you are able to pay your way into the gym for one-day use"
16,4,4,47,36,55,"Talk to the front desk and see if they would make an exception"
16,4,5,82,100,91,"Renew your membership"
16,5,1,85,93,83,"Call home and ask if mom can bring homework to school"
16,5,2,94,86,92,"Tell teacher that you can hand it in later that day"
16,5,3,65,91,82,"Complete the homework assignment again before the class starts that day"
16,5,4,81,100,91,"Explain to the teacher what had happened"
16,5,5,33,11,18,"Not do anything and allow the missing homework assignment to damage grade"
16,6,1,98,84,96,"Find a source of food to eat"
16,6,2,99,92,84,"Look for wood to make a fire"
16,6,3,100,99,100,"If he has a phone try and contact someone"
16,6,4,92,96,91,"Search for a source of water"
16,6,5,34,65,72,"Rest and then wake up and find food and water"
17,1,1,50,100,100,"apply for medical welfare"
17,1,2,90,100,100,"ask a doctor if there's any comparable medication that is cheaper"
17,1,3,30,100,100,"contact a local spiritual assembly to start a donation fund"
17,1,4,100,100,100,"sell items in their home that they don't use anymore"
17,1,5,45,100,100,"look for a local support group that deals with his wife's illness and see if they havve any ideas"
17,2,1,4,1,19,"ditch his car and call a cab"
17,2,2,100,100,100,"call a mechanic to tow the car and catch a cab in the meantime"
17,2,3,72,100,100,"call a friend to pick him up"
17,2,4,28,100,80,"ask for a ride from a passerby"
17,2,5,2,100,0,"start running to the airport on the side of the road"
17,3,1,96,100,100,"tell the manager the truth and offer to work all the overtime to make up for it"
17,3,2,100,100,100,"take the money from his own pay to balance the register"
17,3,3,91,100,100,"look around for the lost cash"
17,3,4,15,0,5,"blame one of his coworkers for stealing the cash"
17,3,5,0,0,0,"make up a story about being robbed"
17,4,1,100,100,100,"ask the person at the desk to call her friend for her"
17,4,2,21,47,69,"ditch her friend and go back to work to get her phone"
17,4,3,34,100,100,"ask someone coming in to get her friend"
17,4,4,3,0,0,"run past the desk and find her friend inside the gym"
17,4,5,77,100,100,"ask to see a manager and renew her membership"
17,5,1,90,100,100,"call her mother to bring the paper to school"
17,5,2,100,100,100,"tell her teacher the truth and ask for a 1-day extension"
17,5,3,95,100,100,"ask her mother to bring it at the end of school and run it to the teacher then"
17,5,4,38,7,18,"ask to copy someone else's homework before class"
17,5,5,15,50,7,"ditch an earlier class to run home and get the homework"
17,6,1,8,100,50,"brad could dig a hole and have them huddle in it"
17,6,2,100,100,100,"brad could have everyone share the same tent to conserve heat"
17,6,3,71,100,100,"brad could sharpen a stick to hunt for food"
17,6,4,100,100,100,"brad could tell his friends what is going on so they can plan together"
17,6,5,100,100,100,"brad can use his cellphone to try and get reception "
18,1,1,85,100,100,"Heinz can start a GoFundMe page to help with the costs."
18,1,2,95,100,100,"Heinz can call the drug manufacturer and see if they can help reduce the expense."
18,1,3,90,100,100,"Heinz can seek out a prescription assistance program."
18,1,4,65,100,75,"Heinz can call his Congressional Representative and Senators to see if they can help."
18,1,5,1,0,0,"Heinz can give up and tell his wife she is on her own."
18,2,1,85,100,100,"Josh can call a tow truck and a taxi so the car can be removed from the road and the taxi can take him to the airport."
18,2,2,15,33,25,"Josh can get an Uber and leave his car."
18,2,3,26,45,40,"Josh can call a friend to pick him up and another friend to deal with his car."
18,2,4,50,100,100,"Josh can cancel the tr-- hunting in Africa isn't terribly ethical and he sees the car breaking down as a sign that he was doing the wrong thing."
18,2,5,0,93,0,"Josh can walk the rest of the way."
18,3,1,95,100,100,"Brian can go through the receipts and try to find the source of the error."
18,3,2,70,100,100,"Brian can put his own money into the register to make up for it."
18,3,3,55,75,75,"Brian can report the issue to the morning manager."
18,3,4,85,100,100,"Brian can re-count the drawer."
18,3,5,10,10,49,"Brian can just ignore the problem."
